problem_id,difficulty,difficulty_label,model_short,mode_or_n,reasoning,source_experiment,branch_idx,judge,judge_model,score,original_v4flash_score,original_v4pro_score,cost_usd,elapsed_s,in_tokens,out_tokens,error,solution_text_hash,completed_at
first-proof-10-official,2,research-easy,gemini-3-flash-preview,generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,1,6,0.004531,19.72,8654,2240,,4c1edff8f58728ba,2026-05-07T10:53:28.916408+00:00
first-proof-10-official,2,research-easy,deepseek-v4-pro,full,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,6,0.005807,26.55,11046,2878,,a5ef05d68d0f9a83,2026-05-07T10:53:28.923564+00:00
first-proof-10-official,2,research-easy,gpt-oss-120b,generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,6,0.007856,28.62,10711,4571,,99a98d8aaaa1f4f8,2026-05-07T10:53:28.918492+00:00
erdos-654,2,research-easy,gpt-oss-120b,seed_generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,0,0,7,0.003008,19.72,4895,1623,,01fc6d8781c4dee7,2026-05-07T10:53:38.562652+00:00
erdos-654,2,research-easy,deepseek-v4-pro,full,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,6,7,7,0.007212,35.64,4991,4971,,c42fd3f077b0e327,2026-05-07T10:53:28.921566+00:00
first-proof-10-official,2,research-easy,deepseek-v4-flash,seed_generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,6,0.008663,38.26,9752,5370,,785551c8cf7e0158,2026-05-07T10:53:28.924574+00:00
first-proof-10-official,2,research-easy,deepseek-v4-flash,full,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,6,7,6,0.010458,45.46,9977,6770,,4ecd2d89b3dc8cbd,2026-05-07T10:53:28.920640+00:00
first-proof-10-official,2,research-easy,deepseek-v4-flash,generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,,6,0.011235,48.92,9750,7428,,efb4640216c6d9f0,2026-05-07T10:53:28.915361+00:00
first-proof-10-official,2,research-easy,qwen3.6-35b-a3b,generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,6,0.012844,58.84,9107,8818,,86e6f8e3fe5f8d84,2026-05-07T10:53:28.919595+00:00
erdos-659,2,research-easy,deepseek-v4-flash,generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,0,6,0.012613,61.72,6490,9052,,27bc4bedcd734f80,2026-05-07T10:53:28.913860+00:00
first-proof-10-official,2,research-easy,gpt-oss-120b,seed_generate,max,phase1_reasoning,,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.009277,41.95,11505,5581,,195ceba2308bb8f5,2026-05-07T10:53:57.534049+00:00
first-proof-10-official,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,,0.007893,36.72,8869,4895,,df95e1931a1e8a23,2026-05-07T10:54:07.183175+00:00
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch4,default,scaling_v4flash,4,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.004933,15.93,9916,2360,,43073f1061a47349,2026-05-07T10:54:30.629124+00:00
first-proof-10-official,2,research-easy,deepseek-v4-flash,seed_full,default,phase3,,nano_validation,openrouter/openai/gpt-5.4-nano,2,7,6,0.010991,52.11,9956,7200,,1e9298ec529f18db,2026-05-07T10:53:55.475955+00:00
erdos-659,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.007589,37.13,6490,5033,,27bc4bedcd734f80,2026-05-07T10:54:14.380405+00:00
erdos-654,2,research-easy,deepseek-v4-flash,seed_full,default,phase3,,nano_validation,openrouter/openai/gpt-5.4-nano,7,7,6,0.012553,66.95,5859,9105,,0b8dcc6e6be5ab91,2026-05-07T10:53:48.636781+00:00
first-proof-10-official,2,research-easy,qwen3.6-35b-a3b,seed_generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,1,0.00933,76.29,9420,5957,,d84e642ccc4ed7d4,2026-05-07T10:53:40.968819+00:00
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.007724,36.49,10528,4495,,e0f22dd26619ef3e,2026-05-07T10:54:27.757422+00:00
erdos-654,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,nano_validation,openrouter/openai/gpt-5.4-nano,7,7,,0.011751,62.05,4991,8602,,1e89679457f356f3,2026-05-07T10:54:04.562821+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch4,max,scaling_reasoning,4,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,,0.006314,22.96,8691,3661,,64bb4a3e9be2c85c,2026-05-07T10:54:43.905522+00:00
first-proof-10-official,2,research-easy,deepseek-v4-pro,seed_generate,default,phase1,,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,6,0.013359,102.32,11249,8887,,67a43c1bf4e6cf0e,2026-05-07T10:53:28.925439+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch2,max,scaling_reasoning,2,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.007999,33.11,8469,5044,,6c08bc72a7f270dd,2026-05-07T10:54:39.482739+00:00
first-proof-10-official,,,deepseek-v4-flash,best_of_n_branch1,default,scaling_v4flash,1,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.01234,59.6,9750,8312,,efb4640216c6d9f0,2026-05-07T10:54:17.835066+00:00
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch8,max,scaling_reasoning,8,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.007774,33.3,8456,4866,,380f1ace7d875e32,2026-05-07T10:54:46.557567+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch8,max,scaling_reasoning,8,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,,0.007147,27.4,11995,3798,,bb1c022bbfb738cf,2026-05-07T10:54:55.591249+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch6,max,scaling_reasoning,6,nano_validation,openrouter/openai/gpt-5.4-nano,1,7,,0.00884,34.84,12419,5085,,075a264527313894,2026-05-07T10:54:51.514527+00:00
erdos-333,2,research-easy,gemma-4-31b-it,seed_full,max,phase1_reasoning,,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.018683,96.45,3944,14315,,09c5bb2f12c13121,2026-05-07T10:53:58.285853+00:00
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch5,max,scaling_reasoning,5,nano_validation,openrouter/openai/gpt-5.4-nano,1,6,,0.010105,49.6,10301,6436,,3c84fb5febb3f237,2026-05-07T10:54:47.583029+00:00
