problem_id,difficulty,difficulty_label,model_short,mode_or_n,reasoning,source_experiment,branch_idx,had_v4flash_solve,had_v4pro_solve,v4pro_score,v4pro_validated,v4pro_source,nano_score,nano_validated,solution_text_hash
first-proof-6-official,,,deepseek-v4-flash,best_of_n_branch2,default,scaling_v4flash,2,True,False,0,False,regrade_call,,False,e47898af0e7a05c0
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch0,max,scaling_reasoning,0,True,False,1,False,regrade_call,,False,3d5dcc021c5e68c2
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch2,max,scaling_reasoning,2,True,False,6,True,regrade_call,1,False,6c08bc72a7f270dd
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch4,max,scaling_reasoning,4,True,False,6,True,regrade_call,1,False,64bb4a3e9be2c85c
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch5,max,scaling_reasoning,5,True,False,1,False,regrade_call,,False,9eebee00d45a3826
first-proof-10-official,,,gemma-4-31b-it,best_of_n_branch8,max,scaling_reasoning,8,True,False,6,True,regrade_call,1,False,380f1ace7d875e32
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch1,max,scaling_reasoning,1,True,False,0,False,regrade_call,,False,303ee72f03c0ff1c
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch4,max,scaling_reasoning,4,True,False,0,False,regrade_call,,False,84a07d4f529633ed
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch5,max,scaling_reasoning,5,True,False,6,True,regrade_call,1,False,3c84fb5febb3f237
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch6,max,scaling_reasoning,6,True,False,6,True,regrade_call,1,False,075a264527313894
first-proof-10-official,,,gpt-oss-120b,best_of_n_branch8,max,scaling_reasoning,8,True,False,6,True,regrade_call,1,False,bb1c022bbfb738cf
