experiment,source_experiment,subclass,condition,reasoning,ideator_model,generator_model,verifier_model,reviser_model,model_short,model_id,problem_id,level,difficulty,difficulty_label,is_26_research,v4flash_score,v4flash_pass,v4pro_score,gemini_score,n_branches,cost_usd,elapsed_s,error
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-024,IMO-hard,1,competition-hard,False,0,False,,0,3,0.082997,712.53,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-025,IMO-easy,1,competition-hard,False,0,False,,7,3,0.0742,815.05,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-026,IMO-medium,1,competition-hard,False,0,False,,7,3,0.062513,592.04,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-027,IMO-hard,1,competition-hard,False,0,False,,0,3,0.045785,1184.39,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-028,IMO-easy,1,competition-hard,False,7,True,,7,3,0.064365,454.47,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-029,IMO-medium,1,competition-hard,False,0,False,,0,3,0.055522,1080.04,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-030,IMO-hard,1,competition-hard,False,0,False,,0,3,0.056992,535.95,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-001,IMO-easy,1,competition-hard,False,7,True,,7,3,0.033575,226.17,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-002,pre-IMO,0,pre-competition,False,7,True,,7,3,0.036893,321.8,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-003,IMO-easy,1,competition-hard,False,0,False,,7,3,0.047522,589.81,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-004,IMO-easy,1,competition-hard,False,0,False,,7,3,0.057695,482.55,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-005,IMO-easy,1,competition-hard,False,1,False,,7,3,0.049428,637.11,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-006,IMO-medium,1,competition-hard,False,0,False,,7,3,0.059753,597.75,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-007,IMO-medium,1,competition-hard,False,0,False,,7,3,0.100581,1025.91,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-008,pre-IMO,0,pre-competition,False,0,False,,7,3,0.056009,823.3,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-009,IMO-easy,1,competition-hard,False,0,False,,7,3,0.054112,409.07,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-010,IMO-easy,1,competition-hard,False,7,True,,7,3,0.03517,159.72,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-011,IMO-easy,1,competition-hard,False,1,False,,7,3,0.069739,563.14,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-012,IMO-medium,1,competition-hard,False,7,True,,7,3,0.050328,445.89,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-013,pre-IMO,0,pre-competition,False,7,True,,7,3,0.032098,259.88,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-014,pre-IMO,0,pre-competition,False,7,True,,7,3,0.029992,241.51,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-015,pre-IMO,0,pre-competition,False,6,True,,7,3,0.048012,1077.22,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-016,pre-IMO,0,pre-competition,False,6,True,,7,3,0.043212,353.4,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-017,pre-IMO,0,pre-competition,False,7,True,,7,3,0.027201,195.72,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-018,pre-IMO,0,pre-competition,False,6,True,,7,3,0.053499,1338.24,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-019,IMO-easy,1,competition-hard,False,7,True,,7,3,0.058084,1879.68,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-020,IMO-easy,1,competition-hard,False,7,True,,7,3,0.050116,398.08,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-021,IMO-easy,1,competition-hard,False,7,True,,7,3,0.085219,1335.53,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-022,IMO-easy,1,competition-hard,False,0,False,,7,3,0.063283,1074.08,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-023,IMO-medium,1,competition-hard,False,0,False,,7,3,0.074377,745.59,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-024,IMO-medium,1,competition-hard,False,0,False,,7,3,0.066363,921.91,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-025,IMO-easy,1,competition-hard,False,0,False,,7,3,0.060209,715.94,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-026,IMO-medium,1,competition-hard,False,0,False,,0,3,0.053768,560.98,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-027,IMO-easy,1,competition-hard,False,0,False,,0,3,0.060779,886.12,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-028,IMO-medium,1,competition-hard,False,0,False,,0,3,0.063879,620.53,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Basic-029,IMO-medium,1,competition-hard,False,0,False,,0,3,0.068538,1002.83,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Basic-030,IMO-easy,1,competition-hard,False,0,False,,0,3,0.062882,381.61,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,erdos-1051,Minor Novelty,3,research-medium,True,0,False,0,0,3,0.092558,582.42,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,erdos-333,Literature Identification,2,research-easy,True,0,False,,0,3,0.060845,371.73,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,erdos-397,Independent Rediscovery,1,competition-hard,True,0,False,,0,3,0.070153,336.58,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,erdos-654,Negligible Novelty,2,research-easy,True,0,False,,0,3,0.088517,1203.3,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,erdos-659,Negligible Novelty,2,research-easy,True,0,False,,0,3,0.094243,398.6,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,first-proof-10-official,1,2,research-easy,True,0,False,1,1,3,0.154021,705.29,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,first-proof-4-official,3,4,research-hard,True,0,False,,0,3,0.112886,766.55,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,first-proof-5-official,2,3,research-medium,True,0,False,,0,3,0.093804,917.96,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,first-proof-6-official,3,4,research-hard,True,0,False,,0,3,0.124499,430.57,
roleswap,roleswap,oss_gemma_8cell,random_run1,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gpt-oss-120b,openrouter/openai/gpt-oss-120b,ramsey-hypergraphs,Moderately Interesting,5,research-frontier,True,0,False,,0,3,0.172714,2354.98,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-001,IMO-easy,1,competition-hard,False,6,True,,7,3,0.059219,436.32,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-002,IMO-medium,1,competition-hard,False,0,False,,0,3,0.067825,491.99,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-003,IMO-hard,1,competition-hard,False,0,False,,0,3,0.07547,654.89,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-004,IMO-easy,1,competition-hard,False,0,False,,7,3,0.074589,1153.67,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-005,IMO-medium,1,competition-hard,False,0,False,,0,3,0.074696,842.49,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-006,IMO-hard,1,competition-hard,False,0,False,,6,3,0.08722,914.1,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,gpt-oss-120b,openrouter/openai/gpt-oss-120b,PB-Advanced-007,IMO-easy,1,competition-hard,False,7,True,,7,3,0.06901,604.75,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-008,IMO-medium,1,competition-hard,False,0,False,,6,3,0.087078,825.77,
roleswap,roleswap,oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,gemma-4-31b-it,openrouter/google/gemma-4-31b-it,PB-Advanced-009,IMO-hard,1,competition-hard,False,0,False,,0,3,0.07508,631.9,
