subclass,condition,reasoning,ideator_model,generator_model,verifier_model,reviser_model,n_problems,n_valid_v4flash,mean_score_v4flash,pass_rate_v4flash,mean_score_imo,mean_score_research,research_solves,mean_cost_usd
oss_gemma_8cell,random_run1,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,2.3333,0.3333,3.5,0,0,0.0864
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,2.6667,0.3333,3.5,,0,0.0586
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,3,3,2.3333,0.3333,0,,0,0.0765
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,1,1,0,0.0,0,,0,0.0518
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,4,4,0,0.0,0,,0,0.0653
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,0,0.0,0,,0,0.0692
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,7,7,2.8571,0.4286,3.3333,0,0,0.081
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,6,6,3.5,0.5,3.5,,0,0.05
oss_gemma_8cell,random_run2,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,9,9,3,0.4444,1.1667,7,1,0.068
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,2,2,0.5,0.0,0.5,,0,0.0698
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,4,4,1.75,0.25,2.3333,0,0,0.074
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,3,3,2.3333,0.3333,0,,0,0.0626
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,2,0.3333,2,,0,0.0635
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,7,7,2.8571,0.4286,2.1667,,0,0.062
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,4,4,0,0.0,0,0,0,0.1049
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,7,7,3,0.4286,4.6667,0,0,0.0684
oss_gemma_8cell,random_run2,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,4,4,0,0.0,0,0,0,0.0785
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,4.6667,0.6667,3.5,,0,0.0577
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,3,3,2.3333,0.3333,0,,0,0.0951
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,1,1,0,0.0,0,,0,0.0611
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,4,4,3.5,0.5,3.5,,0,0.0687
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,3,3,4.6667,0.6667,4.6667,,0,0.0975
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,7,7,2.8571,0.4286,3.3333,0,0,0.1042
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,6,6,3.5,0.5,3.5,,0,0.0625
oss_gemma_8cell,random_run2,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,9,9,4.5556,0.6667,3.3333,7,1,0.0585
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,2,2,4,0.5,4,,0,0.0683
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,4,4,1.75,0.25,2.3333,0,0,0.065
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,3,3,6.6667,1.0,6.5,,0,0.0573
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,3,3,0,0.0,0,,0,0.0737
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,7,7,3.8571,0.5714,3.3333,,0,0.0581
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,4,4,0,0.0,0,0,0,0.1253
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,7,7,4,0.5714,4.6667,0,0,0.0612
oss_gemma_8cell,random_run2,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,4,4,3.25,0.5,4.3333,0,0,0.0714
oss_gemma_8cell,x_ideate_gemma,default,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,70,70,1.5286,0.2143,1.0755,0.8889,1,0.0677
oss_gemma_8cell,x_ideate_gemma,max,,,,,1,0,,,,,0,0
oss_gemma_8cell,x_ideate_gemma,max,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,69,68,3.0882,0.4412,2.7736,1,1,0.0742
oss_gemma_8cell,x_ideate_oss,default,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,70,70,1.6571,0.2286,1.2642,0.6667,1,0.0718
oss_gemma_8cell,x_ideate_oss,max,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,70,70,2.9571,0.4143,2.7358,1.4444,2,0.0602
oss_gemma_8cell,x_revise_gemma,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,70,70,1.8,0.2571,1.2075,1.5556,2,0.0669
oss_gemma_8cell,x_revise_gemma,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,70,69,3.4783,0.4928,3.3585,0.75,1,0.0732
oss_gemma_8cell,x_revise_oss,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,70,70,1.6857,0.2429,1.1887,0.7778,1,0.0698
oss_gemma_8cell,x_revise_oss,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,70,70,3.4143,0.4857,3.1887,1.5556,2,0.0733
oss_gemma_8cell,x_verify_gemma,default,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,70,70,1.6,0.2429,1.3585,0.6667,1,0.0711
oss_gemma_8cell,x_verify_gemma,max,openrouter/openai/gpt-oss-120b,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,70,69,3,0.4348,2.7358,0.875,1,0.0845
oss_gemma_8cell,x_verify_oss,default,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,70,69,2.0725,0.2899,2.0769,0.1111,0,0.0683
oss_gemma_8cell,x_verify_oss,max,openrouter/google/gemma-4-31b-it,openrouter/google/gemma-4-31b-it,openrouter/openai/gpt-oss-120b,openrouter/google/gemma-4-31b-it,70,70,3.6286,0.5143,3.4717,1.5556,2,0.0637
