model,model_id,model_config,reasoning_param_json,problem_id,category,subcategory,short_answer,score,verdict_raw,gen_elapsed_s,judge_elapsed_s,total_elapsed_s,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,judge_prompt_tokens,judge_completion_tokens,est_cost_usd,judge_model,run_date,source_file,error
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-071,Algebra,Inequality,$\frac{2}{3}$,1,"<verdict>correct</verdict> The candidate correctly identifies the configuration that yields the minimum, verifies the bound via a tangent line analysis, and rigorously justifies that the minimum value is $2/3$.",175.68,0.75,176.43,222,5330,,5552,7034,42,0.00152348,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-algebra-012,Algebra,Other,$\frac{1}{2}$,1,"<verdict>correct</verdict> The candidate correctly identified the minimum value $T = 1/2$ and provided a logically sound argument, including both a proof for the upper bound and an optimality construction involving the limit of a family of sequences.",323.61,0.81,324.42,210,41245,,41455,2947,52,0.011578000000000001,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-076,Combinatorics,Extremal Combinatorics,64,0,"<verdict>incorrect</verdict>

The candidate incorrectly identifies the ground truth answer of 64 as 17. The candidate provides a detailed argument for 17 based on the bound $\binom{n}{2} \ge 125$, but the ground truth is 64. The construction provided in the solution summary (64 elements) is actually correct for generating the Fibonacci set.",416.27,1.1,417.37,337,9797,,10134,12212,85,0.00279034,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-055,Combinatorics,Extremal Combinatorics,3986729,1,"<verdict>correct</verdict>
The problem asks for the largest number of cells $k$ that can share the same nonzero count of tiles. By placing $k = \lfloor 2011/52 \rfloor^2 \cdot 52^2$ or adjusting the configuration, we can achieve a uniform count on a large area. The maximum value for this area is given by $(38 \cdot 52)^2 = 1976^2 = 3904576$. However, checking the specific constraints for an $N \times N$ board with $L \times L$ tiles, the maximum number is $(N - (N \pmod L))^2$. For $N=2011$ and $L=52$, $N \pmod L = 2011 \pmod{52} = 35$. The calculation $1976^2 = 3904576$ is incorrect; let me re-evaluate $2011 \pmod{52}$. $2011 = 52 \times 38 + 35$. So the uniform area is $(2011-35) \times (2011-35) = 1976 \times 1976 = 3904576$. Wait, the ground truth $3986729$ corresponds to the square of a different number, $1996.67^2$? Let's re-verify: $3986729 = 1996.678...^2$. Actually $\sqrt{3986729} = 1996.67$. Wait, $1996.67$ is not an integer. Let's check $1996^2 = 3984016$. Let's check $1997^2 = 3988009$. The value ...[truncated]",229.78,2.55,232.32,217,16000,,16217,18489,578,0.0045103800000000005,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-005,Combinatorics,Enumerative Combinatorics,1431655764,1,"<verdict>correct</verdict> The candidate correctly calculates the final value. The expression $\frac{4^{16}-4}{3}$ evaluates to $1431655764$, which matches the ground truth.",101.27,0.92,102.19,187,3264,,3451,4632,51,0.0009401,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-004,Combinatorics,Extremal Combinatorics,9216,1,"<verdict>correct</verdict>The problem asks for the minimum sum of a removed set $R$ of size at least 95 that is closed under addition (and doubling, which is redundant). The set of all even numbers $\{2, 4, 6, \dots, 190\}$ satisfies the conditions, has exactly 95 elements, and has a sum of $\sum_{k=1}^{95} 2k = 2 \cdot \frac{95 \times 96}{2} = 9120$. The sum of all numbers from 1 to 191 is $\frac{191 \times 192}{2} = 18336$. The sum of the remaining numbers is $18336 - 9120 = 9216$. Any set of size 95 with a smaller sum would require a set with a smaller average value while maintaining the additive closure property, which is not possible under these constraints.",265.24,1.48,266.73,214,32005,,32219,18787,218,0.008991360000000002,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-012,Combinatorics,Enumerative Combinatorics,$\binom{2k}{k}^2$,1,"<verdict>correct</verdict> The problem asks for the number of ways to place $k^2$ dominoes on a $2k \times 2k$ board such that every $2 \times 2$ square contains at least two uncovered unit squares in the same row or column. This condition, combined with the fact that exactly half the squares are covered (each domino covers two), implies that the set of uncovered squares must form a pattern where either all cells in specific rows or all cells in specific columns remain uncovered. For a $2k \times 2k$ board, these patterns correspond to selecting $k$ rows to be uncovered (such that no two covered rows are adjacent) or $k$ columns to be uncovered (such that no two covered columns are adjacent). By the combinatorial problem of choosing $k$ non-adjacent items from $2k$ positions in a cycle or line, and accounting for the constraints on domino placement, the total number of ways is indeed $\binom{2k}{k}^2$.",737.44,1.42,738.86,256,16000,,16256,17350,214,0.00451584,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-028,Combinatorics,Operations,1198,1,"<verdict>correct</verdict> The problem asks for the number of times 2013 appears in the sequence after 2013 transformations of the initial sequence [1, 2, ..., 1000]. This is a variation of the Stern-Brocot or diatomic sequence growth problem. For initial sequences of length $n$, the number of occurrences of a specific integer $S$ in the sequence after $T$ transformations can be determined by the properties of the Stern's diatomic series. Researching this specific problem (often posed in combinatorial contexts involving the Stern's diatomic series applied to sequences) confirms the ground-truth answer of 1198.",214.89,1.19,216.08,223,16000,,16223,17590,143,0.004511220000000001,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-030,Combinatorics,Extremal Combinatorics,486,0,"<verdict>incorrect</verdict>

The candidate's reasoning arrives at 35, which is inconsistent with the provided ground-truth answer of 486. The ground truth, 486, is the correct number of unit cubes required, while the candidate's proposed answer of 35 is mathematically incorrect under the constraints of the game.",277.72,0.8,278.52,268,6017,,6285,7702,76,0.0017222800000000003,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-065,Combinatorics,Existence Combinatorics,1989,1,"<verdict>correct</verdict>

The candidate correctly identifies that the constraints on the rows and columns, combined with the letter set $\{I, M, O\}$, imply that $n$ must be a multiple of 3. Given the additional constraint that $n$ must be a multiple of 13, $n$ must be a multiple of 39. The largest multiple of 39 not exceeding 2000 is correctly calculated as 1989. The construction provided is a valid approach for filling such a grid.",462.91,1.27,464.18,288,9850,,10138,11724,114,0.00279832,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-078,Combinatorics,Extremal Combinatorics,9701,1,"<verdict>correct</verdict> The candidate correctly identifies the condition for a number to be colorful as $m \ge 99 \lceil m/100 \rceil$, derives the correct inequality for non-colorful numbers, and correctly identifies $9701$ as the largest such integer.",839.25,1.12,840.37,264,61754,,62018,3659,64,0.01732808,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-072,Combinatorics,Operations,1040,1,"<verdict>correct</verdict> The problem asks for the average value of $\ell(C)$ over all $2^{64}$ configurations. The process described is equivalent to the transformation of the state space of a binary counter where each state corresponds to a configuration of coins. For $n$ coins, the total number of turns $\sum \ell(C)$ follows the pattern $0, 1, 6, 24, \dots$ which corresponds to $(n+1)!/2$ for $n=1$, but the correct sequence for this specific process (flipping the $k$-th coin when there are $k$ heads) is known to be the total number of steps in the Steinhaus-Johnson-Trotter algorithm or equivalent Gray code processes, yielding $\sum \ell(C) = 2^n \cdot \frac{n(n+1)}{4}$? Actually, for $n=64$, the average value of the number of flips is $n(n+1)/4 = 64 \cdot 65 / 4 = 16 \cdot 65 = 1040$. The value 1040 is the mathematically expected result for this process.",855.69,1.65,857.34,345,16000,,16345,18625,260,0.004528300000000001,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-026,Combinatorics,Enumerative Combinatorics,847288609444,0,"<verdict>incorrect</verdict>

The ground-truth answer is $847288609444$. The candidate's final answer is $\boxed{2^{25}+2}$, which evaluates to $33554434$. This is significantly different from the ground truth. The approach in the candidate solution attempts to simplify using the condition $f(T_1)f(T_2)=f(T_1 \cup T_2)f(T_1 \cap T_2)$, but fails to account for the actual number of states allowed by this specific constraint over the Boolean lattice of subsets of $S$.",530.86,1.33,532.19,277,9990,,10267,11929,141,0.00283598,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-092,Combinatorics,Graph Theory,197,1,"<verdict>correct</verdict>
The problem asks for the second largest integer $m < 200$ (not divisible by 3) such that the number of cycles in the permutation $x \mapsto 3x \pmod{m}$ is odd. Using the formula for the number of cycles $C(m)$ and the parity analysis of the divisor sum, one can verify that the number of cycles is odd for $m=197$. Since 197 is a prime, the cycle structure is easily determined, and for $m=199$, an odd prime, a similar verification confirms it is the largest such integer, making 197 the second largest.",252.58,1.37,253.95,264,32005,,32269,18357,146,0.008998360000000002,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-combinatorics-084,Combinatorics,Operations,3,1,"<verdict>correct</verdict> The problem asks for the smallest number of tuples $s$ such that any integer-valued tuple of the target dimension can be generated using addition and componentwise maximum. Based on the property that to generate the entire lattice $\mathbb{Z}^n$ in each coordinate, one needs initial tuples that can reach all integers and that the operations are coordinate-independent, the minimal number of initial tuples required to generate all of $\mathbb{Z}^n$ is $n+1$. For $n=2023$, the answer is $2023+1=2024$. However, the ground truth given is 3. Given the discrepancy between the typical result for dimension $n$ (which is $n+1$) and the provided ground truth, it is likely that the dimension of the tuples refers to a different specific constraints or the problem implies a smaller basis is sufficient in specific settings. The answer ""3"" is the ground truth provided.",262.75,1.64,264.39,385,32005,,32390,18151,205,0.009015300000000002,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-090,Geometry,combinatorial_geometry,44,1,"<verdict>correct</verdict> The candidate solution correctly identifies that the sum of angles around each vertex of a convex polyhedron ($S = 360F/(F+4)$) must not exceed the maximum possible vertex angle sum that satisfies the consistency conditions (which the candidate correctly identifies as 330°). The bound $F \le 44$ is derived correctly from the inequality $360F/(F+4) \le 330$, and 44 is indeed the maximum number of congruent 30-75-75 triangles that can form such a convex polyhedron.",308.48,1.09,309.57,176,32005,,32181,18589,129,0.00898604,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-070,Geometry,3d_geometry,104,1,"<verdict>correct</verdict> The candidate correctly identified the tetrahedron as a disphenoid, calculated its surface area and volume using the coordinates of its vertices, derived the inradius correctly, and performed the final sum as requested. The mathematical reasoning is accurate.",147.92,0.8,148.72,273,7954,,8227,2676,54,0.00226534,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-054,Geometry,computation,26,1,"<verdict>correct</verdict> The candidate correctly identified the area of $\triangle XQR$ as $\frac{6\sqrt{15}}{5}$. Given $m=6$, $n=15$, and $p=5$, which are relatively prime and $n$ is square-free, the sum $m+n+p = 6+15+5 = 26$ is correct.",49.15,1.07,50.22,271,4588,,4859,1167,89,0.00132258,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-029,Geometry,computation,90,1,"<verdict>correct</verdict> The problem asks for the angle $\angle RJS$ in a configuration derived from an equilateral-like geometry fixed by the condition $\angle X = 120^\circ$. Given the geometric construction, $\angle RJS$ is $90^\circ$. The property holds for all such triangles satisfying the conditions, and the value is consistent with the ground truth.",855.35,1.48,856.83,266,16000,,16266,17982,83,0.0045172400000000005,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-058,Geometry,computation,301,1,"<verdict>correct</verdict>
The problem describes the pedal quadrilateral of a cyclic quadrilateral with respect to the diagonals, which is indeed a rectangle. Using the given side lengths $a=4, b=5, c=6, d=7$, one can calculate the diagonals and the angle $\phi$ between them, then find the lengths of the sides of the rectangle formed by the projections, which are $p \cos \phi$ and $q \cos \phi$ (or equivalent projections involving the perpendicular distances). The calculations lead to the perimeter $\frac{m}{n} = \frac{301}{1}$, and thus $m+n=301$.",290.57,1.13,291.7,273,32005,,32278,19667,143,0.008999620000000002,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-076,Geometry,extremal_geometry,$\frac{4}{x\sqrt{4-x^2}}$,1,"<verdict>correct</verdict> The candidate correctly identified the geometric relationships, set up the area expressions using trigonometry, and performed the algebraic simplification to reach the expression $\frac{4}{x\sqrt{4-x^2}}$. The interpretation of ""minimum value"" for a fixed $x$ is consistent with the problem's functional dependence on $x$.",176.13,1.0,177.13,315,4534,,4849,6370,75,0.0013136200000000002,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-036,Geometry,computation,$\frac{a\sqrt{19}}{2}$,1,"<verdict>correct</verdict> The candidate correctly set up the coordinate system, found the coordinates of points P, Q, and R, and accurately applied the distance formula to find the length of YR. The final result matches the ground truth.",29.44,0.95,30.39,244,731,,975,1889,52,0.00023884000000000004,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-001,Geometry,3d_geometry,$\frac{3}{2}$,1,"<verdict>correct</verdict>
The problem asks for the supremum of the set of all $t$ such that $d > th$ is possible for a triangular pyramid (tetrahedron), which is equivalent to finding the maximum possible value of the ratio $d/h$. For a regular tetrahedron, this ratio is $\sqrt{3/2} \approx 1.22$. However, as shown in the literature on tetrahedron geometry, the ratio of the shortest distance between opposite edges $d$ to the smallest height $h$ is maximized in a ""tri-rectangular"" tetrahedron (where three edges at one vertex are mutually perpendicular) under specific conditions of edge lengths, approaching a supremum of $\frac{3}{2}$.",183.8,1.13,184.94,191,16000,,16191,17649,150,0.00450674,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-098,Geometry,extremal_geometry,9,1,"<verdict>correct</verdict> The candidate correctly sets up the problem, uses the properties of cyclic orthodiagonal quadrilaterals, correctly parameterizes the variables, and performs the optimization to arrive at the correct maximum area of 9.",345.03,0.95,345.98,174,7175,,7349,2430,51,0.00203336,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-021,Geometry,combinatorial_geometry,499000,1,"<verdict>correct</verdict> The problem asks for the least positive integer $n$ such that in every convex 1001-sided polygon, the sum of any $n$ diagonals is at least the sum of the remaining diagonals. The number of diagonals in a 1001-gon is $D = \binom{1001}{2} - 1001 = 499,499$. The condition is equivalent to the sum of any $n$ diagonals being at least half the total sum of all diagonals. For a convex polygon, if we place 1000 vertices very close to each other on a flat convex arc and one vertex far away, the lengths of the diagonals connecting the isolated vertex to the cluster are approximately equal to the length of the long side, while all other diagonals are very short. There are $1001-3=998$ such ""long"" diagonals. The sum of the smallest $n$ diagonals will not include these long diagonals until $n$ is sufficiently large. Specifically, as shown in the derivation, the threshold $n$ is approximately $D - \lfloor \frac{M}{2} \rfloor$, where $M$ is the number of long diagonals. With $M=998$, $n = 499,499 ...[truncated]",274.48,1.75,276.23,171,32005,,32176,17695,298,0.008985340000000001,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-055,Geometry,computation,58,1,"<verdict>correct</verdict> The candidate correctly identifies the orthocenter and circumcenter coordinates, sets up the geometry of the orthocenter relative to the circumcircle using vector power, correctly determines the configuration of the vertices, and arrives at the correct value for the area of the triangle and the final sum $a+b=58$.",257.76,1.44,259.21,246,29826,,30072,15854,72,0.008385720000000001,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-geometry-044,Geometry,computation,75,1,"<verdict>correct</verdict>

The candidate correctly set up a coordinate geometry model for the parallelogram, identified the coordinates of the relevant points, determined the equation of the angle bisector, solved for the intersection point $E$, and used vector operations to calculate the final angle $\angle REQ$ as $75^\circ$. All calculations were performed correctly.",619.64,1.16,620.8,222,10172,,10394,2865,75,0.0028792400000000004,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-number_theory-036,Number theory,Base and Digit,"$2,3, \underbrace{2\cdots2}_{n}1$",1,"<verdict>correct</verdict> The candidate correctly identified the set of solutions as 1, 2, 3, and the sequence of integers consisting of a string of $n$ twos followed by a one (which is given in the ground truth as $2, 3, \underbrace{2\cdots2}_{n}1$). The algebraic derivation and testing of small cases match the required logic for these Diophantine-style problems.",411.21,1.01,412.22,192,6523,,6715,8671,93,0.00185332,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-number_theory-020,Number theory,Divisibility,44,1,"<verdict>correct</verdict> The candidate correctly interpreted the problem as counting the positive integers $n < 200$ with $\gcd(n, 6) = 1$ satisfying the given divisibility condition. By testing small values and analyzing the combinatorial condition $r \mid \binom{(n-r)/2-1}{r-1}$ for $r = n-2a$, the candidate correctly identified that the satisfying integers are precisely the prime numbers $p$ with $5 \le p < 200$. Since there are 46 prime numbers less than 200, excluding 2 and 3 leaves 44 such primes, which matches the ground truth.",601.73,1.68,603.41,210,16000,,16210,19929,147,0.0045094,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
deepseek-v4-flash,deepseek/deepseek-v4-flash,default,,imo-bench-number_theory-028,Number theory,Sequence,2,1,"<verdict>correct</verdict>The problem asks for possible remainders $n$ divided by 3, given that for a fixed $n$ there exists an integer $a$ such that the sequence $\{a_k\}$ starting with $a_0=a$ defined by $a_k = a_{k-1}/k + k^{n-1}$ is always integer. This condition is equivalent to the existence of an integer $a$ satisfying a system of congruences $a \equiv -S_k \pmod{k!}$ for all $k \ge 1$, where $S_k = \sum_{j=1}^k j! j^{n-1}$. This system has a solution if and only if $n-1 = 1$, corresponding to $n=2$. For $n=2$, the sequence of residues is eventually constant (specifically, $a \equiv 1$ works), while for any other $n$, the residues grow and do not stabilize to an integer. Thus, the only positive integer $n$ that allows such an $a$ is $n=2$. The remainder when $n=2$ is divided by 3 is 2. The solution is correct.",866.68,2.7,869.38,208,65536,,65744,72152,257,0.018379200000000002,google/gemini-3.1-flash-lite-preview,2026-05-04,answerbench_compare_20260504_20260504_084012.json,
