grading_id,sample,gemma_4_31b_it_high_score,gpt_oss_120b_xhigh_score,deepseek_v4_flash_default_score,trio_majority_pass_at_6,trio_majority_signal_at_1,trio_mean_score,trio_median_score,trio_n_valid,gemini_3_1_pro_score,gemini_3_1_pro_pass_at_6,claude_opus_4_7_score,claude_opus_4_7_pass_at_6,human_score,human_pass_at_6,human_signal_at_1,problem_id,problem_source,trio_pass_match_at_6,gemini_3_1_pro_pass_match_at_6,claude_opus_4_7_pass_match_at_6
GB-0168,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-006,Novel Problem,True,True,
GB-0176,prior,7,6,0,True,True,4.3333,6,3,1,False,,,2,False,True,PB-Advanced-006,Novel Problem,False,True,
GB-0197,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-007,Novel Problem,True,True,
GB-0204,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-007,Novel Problem,True,True,
GB-0215,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-007,Novel Problem,True,True,
GB-0217,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-007,Novel Problem,True,True,
GB-0218,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-007,Novel Problem,True,True,
GB-0221,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-008,Novel Problem,True,True,
GB-0224,prior,1,7,0,False,True,2.6667,1,3,1,False,,,0,False,False,PB-Advanced-008,Novel Problem,True,True,
GB-0225,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-008,Novel Problem,True,True,
GB-0226,prior,1,1,0,False,True,0.6667,1,3,0,False,,,0,False,False,PB-Advanced-008,Novel Problem,True,True,
GB-0229,prior,7,1,0,False,True,2.6667,1,3,1,False,,,0,False,False,PB-Advanced-008,Novel Problem,True,True,
GB-0234,prior,1,0,0,False,False,0.3333,0,3,1,False,,,1,False,True,PB-Advanced-008,Novel Problem,True,True,
GB-0235,prior,7,7,0,True,True,4.6667,7,3,6,True,,,1,False,True,PB-Advanced-008,Novel Problem,False,False,
GB-0239,prior,1,1,0,False,True,0.6667,1,3,1,False,,,4,False,True,PB-Advanced-008,Novel Problem,True,True,
GB-0251,prior,7,1,0,False,True,2.6667,1,3,7,True,,,6,True,True,PB-Advanced-008,Novel Problem,False,True,
GB-0253,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-008,Novel Problem,True,True,
GB-0258,prior,7,6,0,True,True,4.3333,6,3,7,True,,,7,True,True,PB-Advanced-008,Novel Problem,True,True,
GB-0270,prior,1,0,0,False,False,0.3333,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0271,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0272,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0274,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0275,prior,0,1,0,False,False,0.3333,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0277,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0282,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0285,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-009,Novel Problem,True,True,
GB-0297,prior,1,0,0,False,False,0.3333,0,3,,,,,0,False,False,PB-Advanced-010,Novel Problem,True,,
GB-0301,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-010,Novel Problem,True,True,
GB-0323,prior,7,0,0,False,False,2.3333,0,3,7,True,,,4,False,True,PB-Advanced-010,Novel Problem,True,False,
GB-0324,prior,7,1,0,False,True,2.6667,1,3,1,False,,,5,False,True,PB-Advanced-010,Novel Problem,True,True,
GB-0333,prior,1,1,1,False,True,1,1,3,1,False,,,0,False,False,PB-Advanced-011,Novel Problem,True,True,
GB-0345,prior,1,1,0,False,True,0.6667,1,3,0,False,,,0,False,False,PB-Advanced-011,Novel Problem,True,True,
GB-0349,prior,1,0,0,False,False,0.3333,0,3,1,False,,,2,False,True,PB-Advanced-011,Novel Problem,True,True,
GB-0353,prior,7,7,0,True,True,4.6667,7,3,7,True,,,3,False,True,PB-Advanced-011,Novel Problem,False,False,
GB-0364,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-012,Novel Problem,True,True,
GB-0368,prior,6,1,0,False,True,2.3333,1,3,1,False,,,2,False,True,PB-Advanced-012,Novel Problem,True,True,
GB-0371,prior,6,1,0,False,True,2.3333,1,3,6,True,,,2,False,True,PB-Advanced-012,Novel Problem,True,False,
GB-0374,prior,7,7,0,True,True,4.6667,7,3,7,True,,,4,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0380,prior,7,7,0,True,True,4.6667,7,3,7,True,,,4,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0388,prior,7,7,0,True,True,4.6667,7,3,7,True,,,4,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0389,prior,7,7,6,True,True,6.6667,7,3,7,True,,,4,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0390,prior,7,7,7,True,True,7,7,3,6,True,,,4,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0391,prior,7,1,6,True,True,4.6667,6,3,7,True,,,4,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0395,prior,7,7,7,True,True,7,7,3,7,True,,,4,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0406,prior,1,1,0,False,True,0.6667,1,3,1,False,,,5,False,True,PB-Advanced-012,Novel Problem,True,True,
GB-0409,prior,7,7,6,True,True,6.6667,7,3,7,True,,,5,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0411,prior,7,7,7,True,True,7,7,3,7,True,,,5,False,True,PB-Advanced-012,Novel Problem,False,False,
GB-0430,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-013,Novel Problem,True,True,
GB-0433,prior,7,7,0,True,True,4.6667,7,3,0,False,,,0,False,False,PB-Advanced-013,Novel Problem,False,True,
GB-0439,prior,1,1,0,False,True,0.6667,1,3,6,True,,,6,True,True,PB-Advanced-013,Novel Problem,False,True,
GB-0446,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-013,Novel Problem,True,True,
GB-0460,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-014,Novel Problem,True,True,
GB-0465,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-014,Novel Problem,True,True,
GB-0470,prior,7,7,7,True,True,7,7,3,6,True,,,7,True,True,PB-Advanced-014,Novel Problem,True,True,
GB-0471,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-014,Novel Problem,True,True,
GB-0474,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-014,Novel Problem,True,True,
GB-0480,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-014,Novel Problem,True,True,
GB-0506,prior,1,0,0,False,False,0.3333,0,3,1,False,,,2,False,True,PB-Advanced-015,Novel Problem,True,True,
GB-0512,prior,1,0,0,False,False,0.3333,0,3,1,False,,,3,False,True,PB-Advanced-015,Novel Problem,True,True,
GB-0518,prior,1,1,0,False,True,0.6667,1,3,0,False,,,0,False,False,PB-Advanced-016,Novel Problem,True,True,
GB-0522,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-016,Novel Problem,True,True,
GB-0542,prior,7,7,0,True,True,4.6667,7,3,7,True,,,7,True,True,PB-Advanced-016,Novel Problem,True,True,
GB-0547,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-016,Novel Problem,True,True,
GB-0550,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-017,Novel Problem,True,True,
GB-0552,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-017,Novel Problem,True,True,
GB-0559,prior,7,7,0,True,True,4.6667,7,3,7,True,,,3,False,True,PB-Advanced-017,Novel Problem,False,False,
GB-0566,prior,7,6,1,True,True,4.6667,6,3,7,True,,,4,False,True,PB-Advanced-017,Novel Problem,False,False,
GB-0567,prior,7,1,0,False,True,2.6667,1,3,7,True,,,5,False,True,PB-Advanced-017,Novel Problem,True,False,
GB-0571,prior,7,6,0,True,True,4.3333,6,3,6,True,,,5,False,True,PB-Advanced-017,Novel Problem,False,False,
GB-0575,prior,7,7,6,True,True,6.6667,7,3,7,True,,,6,True,True,PB-Advanced-017,Novel Problem,True,True,
GB-0581,prior,1,1,1,False,True,1,1,3,7,True,,,6,True,True,PB-Advanced-017,Novel Problem,False,True,
GB-0592,prior,7,7,1,True,True,5,7,3,7,True,,,7,True,True,PB-Advanced-017,Novel Problem,True,True,
GB-0598,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-018,Novel Problem,True,True,
GB-0599,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-018,Novel Problem,True,True,
GB-0604,prior,0,0,0,False,False,0,0,3,0,False,,,1,False,True,PB-Advanced-018,Novel Problem,True,True,
GB-0605,prior,0,0,0,False,False,0,0,3,0,False,,,1,False,True,PB-Advanced-018,Novel Problem,True,True,
GB-0611,prior,0,0,0,False,False,0,0,3,0,False,,,1,False,True,PB-Advanced-018,Novel Problem,True,True,
GB-0617,prior,1,1,0,False,True,0.6667,1,3,0,False,,,1,False,True,PB-Advanced-018,Novel Problem,True,True,
GB-0619,prior,0,0,0,False,False,0,0,3,0,False,,,1,False,True,PB-Advanced-018,Novel Problem,True,True,
GB-0624,prior,6,6,0,True,True,4,6,3,6,True,,,5,False,True,PB-Advanced-019,(Modified) IMO 2024 P1,False,False,
GB-0634,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-019,(Modified) IMO 2024 P1,True,True,
GB-0643,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-019,(Modified) IMO 2024 P1,True,True,
GB-0644,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-019,(Modified) IMO 2024 P1,True,True,
GB-0651,prior,1,7,0,False,True,2.6667,1,3,1,False,,,7,True,True,PB-Advanced-019,(Modified) IMO 2024 P1,False,False,
GB-0655,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-020,(Modified) IMO 2024 P2,True,True,
GB-0656,prior,7,7,0,True,True,4.6667,7,3,1,False,,,0,False,False,PB-Advanced-020,(Modified) IMO 2024 P2,False,True,
GB-0657,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-020,(Modified) IMO 2024 P2,True,True,
GB-0659,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-020,(Modified) IMO 2024 P2,True,True,
GB-0664,prior,1,1,1,False,True,1,1,3,1,False,,,0,False,False,PB-Advanced-020,(Modified) IMO 2024 P2,True,True,
GB-0666,prior,1,1,1,False,True,1,1,3,1,False,,,1,False,True,PB-Advanced-020,(Modified) IMO 2024 P2,True,True,
GB-0672,prior,1,1,1,False,True,1,1,3,1,False,,,1,False,True,PB-Advanced-020,(Modified) IMO 2024 P2,True,True,
GB-0678,prior,7,7,6,True,True,6.6667,7,3,7,True,,,7,True,True,PB-Advanced-020,(Modified) IMO 2024 P2,True,True,
GB-0687,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0693,prior,7,1,0,False,True,2.6667,1,3,1,False,,,0,False,False,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0697,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0699,prior,1,1,0,False,True,0.6667,1,3,0,False,,,0,False,False,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0700,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0702,prior,0,1,0,False,False,0.3333,0,3,0,False,,,0,False,False,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0705,prior,1,1,0,False,True,0.6667,1,3,1,False,,,0,False,False,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0715,prior,7,1,0,False,True,2.6667,1,3,1,False,,,4,False,True,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0719,prior,1,0,0,False,False,0.3333,0,3,0,False,,,4,False,True,PB-Advanced-021,(Modified) IMO 2024 P3,True,True,
GB-0722,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0734,prior,1,1,1,False,True,1,1,3,0,False,,,1,False,True,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0736,prior,0,0,0,False,False,0,0,3,1,False,,,1,False,True,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0737,prior,0,1,0,False,False,0.3333,0,3,1,False,,,1,False,True,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0739,prior,7,7,0,True,True,4.6667,7,3,6,True,,,6,True,True,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0740,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0747,prior,7,0,7,True,True,4.6667,7,3,7,True,,,7,True,True,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0748,prior,7,7,6,True,True,6.6667,7,3,7,True,,,7,True,True,PB-Advanced-022,(Modified) IMO 2024 P4,True,True,
GB-0755,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-023,(Modified) IMO 2024 P5,True,True,
GB-0759,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-023,(Modified) IMO 2024 P5,True,True,
GB-0760,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-023,(Modified) IMO 2024 P5,True,True,
GB-0763,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-023,(Modified) IMO 2024 P5,True,True,
GB-0765,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-023,(Modified) IMO 2024 P5,True,True,
GB-0769,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-023,(Modified) IMO 2024 P5,True,True,
GB-0774,prior,1,6,0,False,True,2.3333,1,3,0,False,,,1,False,True,PB-Advanced-023,(Modified) IMO 2024 P5,True,True,
GB-0778,prior,7,6,0,True,True,4.3333,6,3,1,False,,,1,False,True,PB-Advanced-023,(Modified) IMO 2024 P5,False,True,
GB-0782,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-024,(Modified) IMO 2024 P6,True,True,
GB-0787,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-024,(Modified) IMO 2024 P6,True,True,
GB-0788,prior,1,1,1,False,True,1,1,3,1,False,,,1,False,True,PB-Advanced-024,(Modified) IMO 2024 P6,True,True,
GB-0792,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-024,(Modified) IMO 2024 P6,True,True,
GB-0795,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-024,(Modified) IMO 2024 P6,True,True,
GB-0812,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-024,(Modified) IMO 2024 P6,True,True,
GB-0825,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-025,USAMO 2025,True,True,
GB-0826,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-025,USAMO 2025,True,True,
GB-0827,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-025,USAMO 2025,True,True,
GB-0829,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-025,USAMO 2025,True,True,
GB-0831,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-025,USAMO 2025,True,True,
GB-0842,prior,1,1,1,False,True,1,1,3,1,False,,,0,False,False,PB-Advanced-026,USAMO 2025,True,True,
GB-0850,prior,1,4,1,False,True,2,1,3,1,False,,,6,True,True,PB-Advanced-026,USAMO 2025,False,False,
GB-0855,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-026,USAMO 2025,True,True,
GB-0864,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-026,USAMO 2025,True,True,
GB-0868,prior,7,1,7,True,True,5,7,3,7,True,,,7,True,True,PB-Advanced-026,USAMO 2025,True,True,
GB-0876,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-027,USAMO 2025,True,True,
GB-0882,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-027,USAMO 2025,True,True,
GB-0883,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-027,USAMO 2025,True,True,
GB-0888,prior,7,7,7,True,True,7,7,3,6,True,,,4,False,True,PB-Advanced-027,USAMO 2025,False,False,
GB-0891,prior,7,1,1,False,True,3,1,3,1,False,,,5,False,True,PB-Advanced-027,USAMO 2025,True,True,
GB-0900,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-027,USAMO 2025,True,True,
GB-0907,prior,0,1,1,False,True,0.6667,1,3,6,True,,,7,True,True,PB-Advanced-027,USAMO 2025,False,True,
GB-0908,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-027,USAMO 2025,True,True,
GB-0909,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-027,USAMO 2025,True,True,
GB-0914,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-028,USAMO 2025,True,True,
GB-0926,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-028,USAMO 2025,True,True,
GB-0931,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-028,USAMO 2025,True,True,
GB-0932,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-028,USAMO 2025,True,True,
GB-0937,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-028,USAMO 2025,True,True,
GB-0948,prior,1,1,0,False,True,0.6667,1,3,1,False,,,1,False,True,PB-Advanced-029,USAMO 2025,True,True,
GB-0955,prior,0,1,0,False,False,0.3333,0,3,0,False,,,1,False,True,PB-Advanced-029,USAMO 2025,True,True,
GB-0956,prior,1,1,1,False,True,1,1,3,1,False,,,1,False,True,PB-Advanced-029,USAMO 2025,True,True,
GB-0957,prior,1,1,0,False,True,0.6667,1,3,0,False,,,1,False,True,PB-Advanced-029,USAMO 2025,True,True,
GB-0959,prior,7,7,7,True,True,7,7,3,7,True,,,1,False,True,PB-Advanced-029,USAMO 2025,False,False,
GB-0964,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-029,USAMO 2025,True,True,
GB-0965,prior,7,7,7,True,True,7,7,3,7,True,,,7,True,True,PB-Advanced-029,USAMO 2025,True,True,
GB-0971,prior,0,7,0,False,False,2.3333,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0975,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0979,prior,0,1,0,False,False,0.3333,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0983,prior,7,0,0,False,False,2.3333,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0984,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0987,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0991,prior,0,1,0,False,False,0.3333,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0993,prior,0,7,0,False,False,2.3333,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0995,prior,0,0,0,False,False,0,0,3,0,False,,,0,False,False,PB-Advanced-030,USAMO 2025,True,True,
GB-0999,prior,0,0,7,False,False,2.3333,0,3,0,False,,,1,False,True,PB-Advanced-030,USAMO 2025,True,True,
GB-0001,validation,1,7,0,False,True,2.6667,1,3,0,False,0,False,0,False,False,PB-Advanced-001,Novel Problem,True,True,True
GB-0006,validation,7,7,6,True,True,6.6667,7,3,7,True,6,True,6,True,True,PB-Advanced-001,Novel Problem,True,True,True
GB-0016,validation,7,7,7,True,True,7,7,3,7,True,7,True,7,True,True,PB-Advanced-001,Novel Problem,True,True,True
GB-0029,validation,7,7,7,True,True,7,7,3,7,True,7,True,7,True,True,PB-Advanced-001,Novel Problem,True,True,True
GB-0034,validation,1,1,0,False,True,0.6667,1,3,0,False,0,False,0,False,False,PB-Advanced-002,Novel Problem,True,True,True
GB-0048,validation,1,0,0,False,False,0.3333,0,3,0,False,0,False,1,False,True,PB-Advanced-002,Novel Problem,True,True,True
GB-0051,validation,7,1,0,False,True,2.6667,1,3,7,True,1,False,1,False,True,PB-Advanced-002,Novel Problem,True,False,True
GB-0059,validation,1,0,0,False,False,0.3333,0,3,0,False,0,False,5,False,True,PB-Advanced-002,Novel Problem,True,True,True
GB-0061,validation,0,1,0,False,False,0.3333,0,3,1,False,0,False,5,False,True,PB-Advanced-002,Novel Problem,True,True,True
GB-0062,validation,7,1,0,False,True,2.6667,1,3,7,True,1,False,5,False,True,PB-Advanced-002,Novel Problem,True,False,True
GB-0065,validation,0,0,0,False,False,0,0,3,0,False,0,False,0,False,False,PB-Advanced-003,Novel Problem,True,True,True
GB-0069,validation,1,1,0,False,True,0.6667,1,3,1,False,1,False,0,False,False,PB-Advanced-003,Novel Problem,True,True,True
GB-0075,validation,7,0,0,False,False,2.3333,0,3,0,False,0,False,1,False,True,PB-Advanced-003,Novel Problem,True,True,True
GB-0076,validation,1,1,7,False,True,3,1,3,1,False,1,False,1,False,True,PB-Advanced-003,Novel Problem,True,True,True
GB-0077,validation,1,1,0,False,True,0.6667,1,3,1,False,1,False,1,False,True,PB-Advanced-003,Novel Problem,True,True,True
